document	spamminess	hamminess	prediction	class
TRAINING/TRAIN_00000.tfidf	0.263179	0.325034	1	0
TRAINING/TRAIN_00001.tfidf	0.059102	0.063380	1	0
TRAINING/TRAIN_00002.tfidf	0.230077	0.300900	1	1
TRAINING/TRAIN_00003.tfidf	0.021743	0.025057	1	0
TRAINING/TRAIN_00004.tfidf	0.077101	0.102417	1	0
TRAINING/TRAIN_00005.tfidf	0.147779	0.185088	1	1
TRAINING/TRAIN_00006.tfidf	0.118681	0.188532	1	1
TRAINING/TRAIN_00007.tfidf	0.075766	0.127601	1	1
TRAINING/TRAIN_00008.tfidf	0.125674	0.208594	1	1
TRAINING/TRAIN_00009.tfidf	0.165037	0.280799	1	1
TRAINING/TRAIN_00010.tfidf	0.170707	0.262090	1	1
TRAINING/TRAIN_00011.tfidf	0.253219	0.224360	0	0
TRAINING/TRAIN_00012.tfidf	0.082061	0.149541	1	1
TRAINING/TRAIN_00013.tfidf	0.016480	0.015078	0	0
TRAINING/TRAIN_00014.tfidf	0.096252	0.084252	0	0
TRAINING/TRAIN_00015.tfidf	0.197492	0.194776	0	0
TRAINING/TRAIN_00016.tfidf	0.116657	0.184347	1	1
TRAINING/TRAIN_00017.tfidf	0.074870	0.102758	1	1
TRAINING/TRAIN_00018.tfidf	0.113104	0.155824	1	1
TRAINING/TRAIN_00019.tfidf	0.072615	0.218083	1	1
TRAINING/TRAIN_00020.tfidf	0.187328	0.271033	1	1
TRAINING/TRAIN_00021.tfidf	0.132016	0.123527	0	0
TRAINING/TRAIN_00022.tfidf	0.059685	0.050369	0	0
TRAINING/TRAIN_00023.tfidf	0.197344	0.280033	1	1
TRAINING/TRAIN_00024.tfidf	0.069713	0.067985	0	0
TRAINING/TRAIN_00025.tfidf	0.054084	0.112510	1	1
TRAINING/TRAIN_00026.tfidf	0.155249	0.169304	1	1
TRAINING/TRAIN_00027.tfidf	0.279278	0.244053	0	0
TRAINING/TRAIN_00028.tfidf	0.056978	0.131414	1	1
TRAINING/TRAIN_00029.tfidf	0.118635	0.247137	1	1
TRAINING/TRAIN_00030.tfidf	0.027454	0.066856	1	1
TRAINING/TRAIN_00031.tfidf	0.074388	0.084379	1	0
TRAINING/TRAIN_00032.tfidf	0.221652	0.291655	1	1
TRAINING/TRAIN_00033.tfidf	0.078558	0.085226	1	0
TRAINING/TRAIN_00034.tfidf	0.137902	0.245337	1	1
TRAINING/TRAIN_00035.tfidf	0.118993	0.203918	1	1
TRAINING/TRAIN_00036.tfidf	0.051237	0.123198	1	1
TRAINING/TRAIN_00037.tfidf	0.057811	0.081681	1	1
TRAINING/TRAIN_00038.tfidf	0.071726	0.059915	0	0
TRAINING/TRAIN_00039.tfidf	0.156471	0.223936	1	1
TRAINING/TRAIN_00040.tfidf	0.078797	0.088824	1	0
TRAINING/TRAIN_00041.tfidf	0.186996	0.201108	1	0
TRAINING/TRAIN_00042.tfidf	0.148598	0.160356	1	0
TRAINING/TRAIN_00043.tfidf	0.160864	0.261879	1	1
TRAINING/TRAIN_00044.tfidf	0.128847	0.123944	0	0
TRAINING/TRAIN_00045.tfidf	0.317913	0.409070	1	1
TRAINING/TRAIN_00046.tfidf	0.031496	0.059891	1	1
TRAINING/TRAIN_00047.tfidf	0.214282	0.257718	1	1
TRAINING/TRAIN_00048.tfidf	0.137753	0.189246	1	1
TRAINING/TRAIN_00049.tfidf	0.125853	0.224951	1	1
TRAINING/TRAIN_00050.tfidf	0.082833	0.070014	0	0
TRAINING/TRAIN_00051.tfidf	0.043346	0.083018	1	1
TRAINING/TRAIN_00052.tfidf	0.100378	0.173739	1	1
