document	spamminess	hamminess	prediction	class
TRAINING/TRAIN_00000.tfidf	0.351554	0.395714	1	0
TRAINING/TRAIN_00001.tfidf	0.089087	0.087861	0	0
TRAINING/TRAIN_00002.tfidf	0.303389	0.380854	1	1
TRAINING/TRAIN_00003.tfidf	0.033290	0.025538	0	0
TRAINING/TRAIN_00004.tfidf	0.103376	0.112810	1	0
TRAINING/TRAIN_00005.tfidf	0.189695	0.221138	1	1
TRAINING/TRAIN_00006.tfidf	0.144218	0.221358	1	1
TRAINING/TRAIN_00007.tfidf	0.111771	0.184649	1	1
TRAINING/TRAIN_00008.tfidf	0.156175	0.262057	1	1
TRAINING/TRAIN_00009.tfidf	0.199623	0.317651	1	1
TRAINING/TRAIN_00010.tfidf	0.220748	0.309680	1	1
TRAINING/TRAIN_00011.tfidf	0.226511	0.207686	0	0
TRAINING/TRAIN_00012.tfidf	0.147094	0.197779	1	1
TRAINING/TRAIN_00013.tfidf	0.035437	0.022346	0	0
TRAINING/TRAIN_00014.tfidf	0.132554	0.096848	0	0
TRAINING/TRAIN_00015.tfidf	0.262307	0.225389	0	0
TRAINING/TRAIN_00016.tfidf	0.144712	0.214633	1	1
TRAINING/TRAIN_00017.tfidf	0.078808	0.131952	1	1
TRAINING/TRAIN_00018.tfidf	0.148862	0.211656	1	1
TRAINING/TRAIN_00019.tfidf	0.109431	0.294702	1	1
TRAINING/TRAIN_00020.tfidf	0.204265	0.320344	1	1
TRAINING/TRAIN_00021.tfidf	0.190762	0.159658	0	0
TRAINING/TRAIN_00022.tfidf	0.071682	0.053815	0	0
TRAINING/TRAIN_00023.tfidf	0.218292	0.313897	1	1
TRAINING/TRAIN_00024.tfidf	0.179556	0.115886	0	0
TRAINING/TRAIN_00025.tfidf	0.090439	0.139277	1	1
TRAINING/TRAIN_00026.tfidf	0.221499	0.218652	0	1
TRAINING/TRAIN_00027.tfidf	0.238695	0.219773	0	0
TRAINING/TRAIN_00028.tfidf	0.096457	0.176941	1	1
TRAINING/TRAIN_00029.tfidf	0.179208	0.329456	1	1
TRAINING/TRAIN_00030.tfidf	0.054036	0.112608	1	1
TRAINING/TRAIN_00031.tfidf	0.120290	0.107176	0	0
TRAINING/TRAIN_00032.tfidf	0.252710	0.345592	1	1
TRAINING/TRAIN_00033.tfidf	0.132299	0.116245	0	0
TRAINING/TRAIN_00034.tfidf	0.174092	0.306133	1	1
TRAINING/TRAIN_00035.tfidf	0.158815	0.287620	1	1
TRAINING/TRAIN_00036.tfidf	0.096510	0.145094	1	1
TRAINING/TRAIN_00037.tfidf	0.086078	0.111500	1	1
TRAINING/TRAIN_00038.tfidf	0.082684	0.060983	0	0
TRAINING/TRAIN_00039.tfidf	0.199332	0.296674	1	1
TRAINING/TRAIN_00040.tfidf	0.158958	0.127483	0	0
TRAINING/TRAIN_00041.tfidf	0.263466	0.242869	0	0
TRAINING/TRAIN_00042.tfidf	0.235108	0.206017	0	0
TRAINING/TRAIN_00043.tfidf	0.200940	0.296945	1	1
TRAINING/TRAIN_00044.tfidf	0.198426	0.157152	0	0
TRAINING/TRAIN_00045.tfidf	0.364765	0.461575	1	1
TRAINING/TRAIN_00046.tfidf	0.051353	0.070744	1	1
TRAINING/TRAIN_00047.tfidf	0.238792	0.297063	1	1
TRAINING/TRAIN_00048.tfidf	0.148704	0.198673	1	1
TRAINING/TRAIN_00049.tfidf	0.160752	0.293085	1	1
TRAINING/TRAIN_00050.tfidf	0.184401	0.108456	0	0
TRAINING/TRAIN_00051.tfidf	0.072953	0.102794	1	1
TRAINING/TRAIN_00052.tfidf	0.113172	0.210445	1	1
TRAINING/TRAIN_00053.tfidf	0.169622	0.273173	1	1
TRAINING/TRAIN_00054.tfidf	0.160826	0.158508	0	0
TRAINING/TRAIN_00055.tfidf	0.102924	0.175284	1	1
TRAINING/TRAIN_00056.tfidf	0.091299	0.132802	1	1
TRAINING/TRAIN_00057.tfidf	0.082371	0.218823	1	1
TRAINING/TRAIN_00058.tfidf	0.157086	0.270706	1	1
TRAINING/TRAIN_00059.tfidf	0.253898	0.229207	0	0
TRAINING/TRAIN_00060.tfidf	0.123254	0.106168	0	0
TRAINING/TRAIN_00061.tfidf	0.192787	0.287728	1	1
TRAINING/TRAIN_00062.tfidf	0.154498	0.234700	1	1
TRAINING/TRAIN_00063.tfidf	0.128655	0.165116	1	1
TRAINING/TRAIN_00064.tfidf	0.109010	0.131393	1	1
TRAINING/TRAIN_00065.tfidf	0.008039	0.010021	1	0
TRAINING/TRAIN_00066.tfidf	0.183276	0.221403	1	1
TRAINING/TRAIN_00067.tfidf	0.139889	0.128756	0	0
TRAINING/TRAIN_00068.tfidf	0.254195	0.184469	0	0
TRAINING/TRAIN_00069.tfidf	0.135579	0.168873	1	1
TRAINING/TRAIN_00070.tfidf	0.100362	0.153529	1	1
TRAINING/TRAIN_00071.tfidf	0.169106	0.307133	1	1
TRAINING/TRAIN_00072.tfidf	0.157574	0.102001	0	0
TRAINING/TRAIN_00073.tfidf	0.148576	0.113192	0	0
TRAINING/TRAIN_00074.tfidf	0.050405	0.092287	1	1
TRAINING/TRAIN_00075.tfidf	0.120616	0.062525	0	0
TRAINING/TRAIN_00076.tfidf	0.122596	0.092507	0	0
TRAINING/TRAIN_00077.tfidf	0.083318	0.144017	1	1
TRAINING/TRAIN_00078.tfidf	0.105263	0.155033	1	1
