bytes,filename
3409,TRAIN_00008.eml
5247,TRAIN_00000.eml
2419,TRAIN_00007.eml
9235,TRAIN_00002.eml
3831,TRAIN_00003.eml
1478,TRAIN_00004.eml
2035,TRAIN_00001.eml
7354,TRAIN_00009.eml
3336,TRAIN_00006.eml
2304,TRAIN_00005.eml
5877,TRAIN_00010.eml
12093,TRAIN_00011.eml
2814,TRAIN_00012.eml
39515,TRAIN_00013.eml
5709,TRAIN_00014.eml
21388,TRAIN_00015.eml
3099,TRAIN_00016.eml
2500,TRAIN_00017.eml
7153,TRAIN_00018.eml
5232,TRAIN_00019.eml
5789,TRAIN_00020.eml
9029,TRAIN_00021.eml
2355,TRAIN_00022.eml
8923,TRAIN_00023.eml
7197,TRAIN_00024.eml
1271,TRAIN_00025.eml
25491,TRAIN_00026.eml
11140,TRAIN_00027.eml
2918,TRAIN_00028.eml
6292,TRAIN_00029.eml
6277,TRAIN_00030.eml
2575,TRAIN_00031.eml
10188,TRAIN_00032.eml
9415,TRAIN_00033.eml
5660,TRAIN_00034.eml
6111,TRAIN_00035.eml
1433,TRAIN_00036.eml
1189,TRAIN_00037.eml
9962,TRAIN_00038.eml
6664,TRAIN_00039.eml
11259,TRAIN_00040.eml
3217,TRAIN_00041.eml
4038,TRAIN_00042.eml
4973,TRAIN_00043.eml
17056,TRAIN_00044.eml
15786,TRAIN_00045.eml
2094,TRAIN_00046.eml
4585,TRAIN_00047.eml
2657,TRAIN_00048.eml
5706,TRAIN_00049.eml
6122,TRAIN_00050.eml
3909,TRAIN_00051.eml
5068,TRAIN_00052.eml
3311,TRAIN_00053.eml
4093,TRAIN_00054.eml
3371,TRAIN_00055.eml
1160,TRAIN_00056.eml
4911,TRAIN_00057.eml
5809,TRAIN_00058.eml
8880,TRAIN_00059.eml
4746,TRAIN_00060.eml
5947,TRAIN_00061.eml
7072,TRAIN_00062.eml
2736,TRAIN_00063.eml
2446,TRAIN_00064.eml
2591,TRAIN_00065.eml
4121,TRAIN_00066.eml
2518,TRAIN_00067.eml
4264,TRAIN_00068.eml
1233,TRAIN_00069.eml
3158,TRAIN_00070.eml
6418,TRAIN_00071.eml
9497,TRAIN_00072.eml
9011,TRAIN_00073.eml
6970,TRAIN_00074.eml
5615,TRAIN_00075.eml
2014,TRAIN_00076.eml
2321,TRAIN_00077.eml
4220,TRAIN_00078.eml
5164,TRAIN_00079.eml
3926,TRAIN_00080.eml
2897,TRAIN_00081.eml
5032,TRAIN_00082.eml
4263,TRAIN_00083.eml
3281,TRAIN_00084.eml
3775,TRAIN_00085.eml
2595,TRAIN_00086.eml
4325,TRAIN_00087.eml
1394,TRAIN_00088.eml
5011,TRAIN_00089.eml
984,TRAIN_00090.eml
3772,TRAIN_00091.eml
5272,TRAIN_00092.eml
24773,TRAIN_00093.eml
7203,TRAIN_00094.eml
5682,TRAIN_00095.eml
3113,TRAIN_00096.eml
2401,TRAIN_00097.eml
11395,TRAIN_00098.eml
2746,TRAIN_00099.eml
6397,TRAIN_00100.eml
5520,TRAIN_00101.eml
5034,TRAIN_00102.eml
2862,TRAIN_00103.eml
8462,TRAIN_00104.eml
6125,TRAIN_00105.eml
4141,TRAIN_00106.eml
6117,TRAIN_00107.eml
5465,TRAIN_00108.eml
32837,TRAIN_00109.eml
22043,TRAIN_00110.eml
6414,TRAIN_00111.eml
4214,TRAIN_00112.eml
5536,TRAIN_00113.eml
6278,TRAIN_00114.eml
3621,TRAIN_00115.eml
10740,TRAIN_00116.eml
1375,TRAIN_00117.eml
3393,TRAIN_00118.eml
4330,TRAIN_00119.eml
2147,TRAIN_00120.eml
1839,TRAIN_00121.eml
43734,TRAIN_00122.eml
3159,TRAIN_00123.eml
4776,TRAIN_00124.eml
2858,TRAIN_00125.eml
6644,TRAIN_00126.eml
7650,TRAIN_00127.eml
7082,TRAIN_00128.eml
5868,TRAIN_00129.eml
4963,TRAIN_00130.eml
2974,TRAIN_00131.eml
4397,TRAIN_00132.eml
3570,TRAIN_00133.eml
3777,TRAIN_00134.eml
3197,TRAIN_00135.eml
7441,TRAIN_00136.eml
8481,TRAIN_00137.eml
6089,TRAIN_00138.eml
3882,TRAIN_00139.eml
15120,TRAIN_00140.eml
5947,TRAIN_00141.eml
11018,TRAIN_00142.eml
5380,TRAIN_00143.eml
6761,TRAIN_00144.eml
6717,TRAIN_00145.eml
2009,TRAIN_00146.eml
8890,TRAIN_00147.eml
2394,TRAIN_00148.eml
6423,TRAIN_00149.eml
5235,TRAIN_00150.eml
1978,TRAIN_00151.eml
5221,TRAIN_00152.eml
7124,TRAIN_00153.eml
5130,TRAIN_00154.eml
2186,TRAIN_00155.eml
6178,TRAIN_00156.eml
5384,TRAIN_00157.eml
1091,TRAIN_00158.eml
6209,TRAIN_00159.eml
2790,TRAIN_00160.eml
2576,TRAIN_00161.eml
4895,TRAIN_00162.eml
6224,TRAIN_00163.eml
6785,TRAIN_00164.eml
7782,TRAIN_00165.eml
15962,TRAIN_00166.eml
5518,TRAIN_00167.eml
3552,TRAIN_00168.eml
4905,TRAIN_00169.eml
9364,TRAIN_00170.eml
3734,TRAIN_00171.eml
5548,TRAIN_00172.eml
5121,TRAIN_00173.eml
3347,TRAIN_00174.eml
3737,TRAIN_00175.eml
2289,TRAIN_00176.eml
3202,TRAIN_00177.eml
3167,TRAIN_00178.eml
3652,TRAIN_00179.eml
3392,TRAIN_00180.eml
4242,TRAIN_00181.eml
5885,TRAIN_00182.eml
4122,TRAIN_00183.eml
3272,TRAIN_00184.eml
6437,TRAIN_00185.eml
5137,TRAIN_00186.eml
2166,TRAIN_00187.eml
4583,TRAIN_00188.eml
2729,TRAIN_00189.eml
5487,TRAIN_00190.eml
2678,TRAIN_00191.eml
5951,TRAIN_00192.eml
6854,TRAIN_00193.eml
8252,TRAIN_00194.eml
5237,TRAIN_00195.eml
6705,TRAIN_00196.eml
5876,TRAIN_00197.eml
868,TRAIN_00198.eml
2930,TRAIN_00199.eml
9778,TRAIN_00200.eml
6066,TRAIN_00201.eml
2073,TRAIN_00202.eml
4739,TRAIN_00203.eml
6567,TRAIN_00204.eml
2986,TRAIN_00205.eml
4145,TRAIN_00206.eml
3902,TRAIN_00207.eml
16928,TRAIN_00208.eml
3802,TRAIN_00209.eml
4985,TRAIN_00210.eml
30157,TRAIN_00211.eml
1121,TRAIN_00212.eml
2017,TRAIN_00213.eml
4840,TRAIN_00214.eml
6516,TRAIN_00215.eml
2908,TRAIN_00216.eml
2405,TRAIN_00217.eml
4069,TRAIN_00218.eml
7010,TRAIN_00219.eml
5636,TRAIN_00220.eml
8434,TRAIN_00221.eml
11312,TRAIN_00222.eml
4983,TRAIN_00223.eml
7644,TRAIN_00224.eml
5432,TRAIN_00225.eml
10520,TRAIN_00226.eml
2915,TRAIN_00227.eml
1300,TRAIN_00228.eml
7698,TRAIN_00229.eml
8102,TRAIN_00230.eml
3419,TRAIN_00231.eml
7897,TRAIN_00232.eml
3396,TRAIN_00233.eml
2942,TRAIN_00234.eml
2882,TRAIN_00235.eml
5735,TRAIN_00236.eml
3227,TRAIN_00237.eml
6318,TRAIN_00238.eml
6451,TRAIN_00239.eml
2993,TRAIN_00240.eml
4720,TRAIN_00241.eml
17406,TRAIN_00242.eml
2498,TRAIN_00243.eml
3235,TRAIN_00244.eml
