document	spamminess	hamminess	prediction	class
TRAINING/TRAIN_00000.tfidf	0.195890	0.203892	1	0
TRAINING/TRAIN_00001.tfidf	0.059102	0.063380	1	0
TRAINING/TRAIN_00002.tfidf	0.282843	0.312955	1	1
TRAINING/TRAIN_00003.tfidf	0.021743	0.025057	1	0
TRAINING/TRAIN_00004.tfidf	0.077101	0.102417	1	0
TRAINING/TRAIN_00005.tfidf	0.147779	0.185088	1	1
TRAINING/TRAIN_00006.tfidf	0.124430	0.197778	1	1
TRAINING/TRAIN_00007.tfidf	0.075766	0.127601	1	1
TRAINING/TRAIN_00008.tfidf	0.125674	0.208594	1	1
TRAINING/TRAIN_00009.tfidf	0.273167	0.309055	1	1
TRAINING/TRAIN_00010.tfidf	0.243176	0.281318	1	1
TRAINING/TRAIN_00011.tfidf	0.157983	0.173298	1	0
TRAINING/TRAIN_00012.tfidf	0.082061	0.149541	1	1
TRAINING/TRAIN_00013.tfidf	0.019506	0.019323	0	0
TRAINING/TRAIN_00014.tfidf	0.096252	0.084252	0	0
TRAINING/TRAIN_00015.tfidf	0.190343	0.212156	1	0
TRAINING/TRAIN_00016.tfidf	0.116657	0.184347	1	1
TRAINING/TRAIN_00017.tfidf	0.074870	0.102758	1	1
TRAINING/TRAIN_00018.tfidf	0.113104	0.155824	1	1
TRAINING/TRAIN_00019.tfidf	0.072615	0.218083	1	1
TRAINING/TRAIN_00020.tfidf	0.210209	0.288085	1	1
TRAINING/TRAIN_00021.tfidf	0.200369	0.188359	0	0
TRAINING/TRAIN_00022.tfidf	0.059685	0.050369	0	0
TRAINING/TRAIN_00023.tfidf	0.167371	0.187875	1	1
TRAINING/TRAIN_00024.tfidf	0.069713	0.067985	0	0
TRAINING/TRAIN_00025.tfidf	0.054084	0.112510	1	1
TRAINING/TRAIN_00026.tfidf	0.234006	0.242344	1	1
TRAINING/TRAIN_00027.tfidf	0.191679	0.226468	1	0
TRAINING/TRAIN_00028.tfidf	0.056978	0.131414	1	1
TRAINING/TRAIN_00029.tfidf	0.172559	0.268909	1	1
TRAINING/TRAIN_00030.tfidf	0.027454	0.066856	1	1
TRAINING/TRAIN_00031.tfidf	0.122219	0.136825	1	0
TRAINING/TRAIN_00032.tfidf	0.212162	0.265285	1	1
TRAINING/TRAIN_00033.tfidf	0.078558	0.085226	1	0
TRAINING/TRAIN_00034.tfidf	0.179276	0.232803	1	1
TRAINING/TRAIN_00035.tfidf	0.118993	0.203918	1	1
TRAINING/TRAIN_00036.tfidf	0.051237	0.123198	1	1
TRAINING/TRAIN_00037.tfidf	0.057811	0.081681	1	1
TRAINING/TRAIN_00038.tfidf	0.071726	0.059915	0	0
TRAINING/TRAIN_00039.tfidf	0.346464	0.399331	1	1
TRAINING/TRAIN_00040.tfidf	0.065387	0.083517	1	0
TRAINING/TRAIN_00041.tfidf	0.317936	0.321841	1	0
TRAINING/TRAIN_00042.tfidf	0.203548	0.220329	1	0
TRAINING/TRAIN_00043.tfidf	0.221323	0.290969	1	1
TRAINING/TRAIN_00044.tfidf	0.297615	0.295091	0	0
TRAINING/TRAIN_00045.tfidf	0.075042	0.075092	1	1
TRAINING/TRAIN_00046.tfidf	0.031496	0.059891	1	1
TRAINING/TRAIN_00047.tfidf	0.252649	0.307599	1	1
TRAINING/TRAIN_00048.tfidf	0.206842	0.236370	1	1
TRAINING/TRAIN_00049.tfidf	0.162781	0.223211	1	1
TRAINING/TRAIN_00050.tfidf	0.082833	0.070014	0	0
TRAINING/TRAIN_00051.tfidf	0.043346	0.083018	1	1
TRAINING/TRAIN_00052.tfidf	0.100378	0.173739	1	1
TRAINING/TRAIN_00053.tfidf	0.130430	0.178693	1	1
TRAINING/TRAIN_00054.tfidf	0.235915	0.271630	1	0
TRAINING/TRAIN_00055.tfidf	0.068248	0.119645	1	1
TRAINING/TRAIN_00056.tfidf	0.056293	0.100383	1	1
TRAINING/TRAIN_00057.tfidf	0.045783	0.131529	1	1
TRAINING/TRAIN_00058.tfidf	0.132210	0.203304	1	1
TRAINING/TRAIN_00059.tfidf	0.088246	0.104177	1	0
TRAINING/TRAIN_00060.tfidf	0.057950	0.063244	1	0
TRAINING/TRAIN_00061.tfidf	0.218778	0.276362	1	1
TRAINING/TRAIN_00062.tfidf	0.266802	0.291757	1	1
TRAINING/TRAIN_00063.tfidf	0.124023	0.161660	1	1
TRAINING/TRAIN_00064.tfidf	0.132139	0.165500	1	1
TRAINING/TRAIN_00065.tfidf	0.004620	0.008249	1	0
TRAINING/TRAIN_00066.tfidf	0.324057	0.334322	1	1
TRAINING/TRAIN_00067.tfidf	0.191104	0.198331	1	0
TRAINING/TRAIN_00068.tfidf	0.306538	0.289121	0	0
TRAINING/TRAIN_00069.tfidf	0.096068	0.126048	1	1
TRAINING/TRAIN_00070.tfidf	0.073659	0.132886	1	1
TRAINING/TRAIN_00071.tfidf	0.144194	0.234540	1	1
TRAINING/TRAIN_00072.tfidf	0.092064	0.075857	0	0
TRAINING/TRAIN_00073.tfidf	0.115946	0.103886	0	0
TRAINING/TRAIN_00074.tfidf	0.206108	0.264699	1	1
TRAINING/TRAIN_00075.tfidf	0.042650	0.033343	0	0
TRAINING/TRAIN_00076.tfidf	0.076747	0.071229	0	0
TRAINING/TRAIN_00077.tfidf	0.062346	0.105450	1	1
TRAINING/TRAIN_00078.tfidf	0.073152	0.122510	1	1
TRAINING/TRAIN_00079.tfidf	0.226684	0.269626	1	1
TRAINING/TRAIN_00080.tfidf	0.080050	0.068391	0	0
TRAINING/TRAIN_00081.tfidf	0.179893	0.225918	1	1
TRAINING/TRAIN_00082.tfidf	0.051307	0.045542	0	0
TRAINING/TRAIN_00083.tfidf	0.161229	0.214081	1	1
TRAINING/TRAIN_00084.tfidf	0.094056	0.118260	1	1
TRAINING/TRAIN_00085.tfidf	0.164759	0.262638	1	1
TRAINING/TRAIN_00086.tfidf	0.133320	0.146190	1	1
TRAINING/TRAIN_00087.tfidf	0.121136	0.180565	1	1
TRAINING/TRAIN_00088.tfidf	0.087409	0.162839	1	1
TRAINING/TRAIN_00089.tfidf	0.045913	0.131417	1	1
TRAINING/TRAIN_00090.tfidf	0.085204	0.117085	1	1
TRAINING/TRAIN_00091.tfidf	0.077018	0.116727	1	1
TRAINING/TRAIN_00092.tfidf	0.090149	0.077012	0	0
TRAINING/TRAIN_00093.tfidf	0.100066	0.115675	1	0
TRAINING/TRAIN_00094.tfidf	0.289605	0.284953	0	1
TRAINING/TRAIN_00095.tfidf	0.098193	0.202134	1	1
TRAINING/TRAIN_00096.tfidf	0.073710	0.134921	1	1
TRAINING/TRAIN_00097.tfidf	0.082100	0.062027	0	0
TRAINING/TRAIN_00098.tfidf	0.131456	0.209349	1	1
TRAINING/TRAIN_00099.tfidf	0.014033	0.011665	0	0
TRAINING/TRAIN_00100.tfidf	0.337668	0.302108	0	0
TRAINING/TRAIN_00101.tfidf	0.234336	0.244130	1	1
TRAINING/TRAIN_00102.tfidf	0.108723	0.242776	1	1
TRAINING/TRAIN_00103.tfidf	0.128139	0.214614	1	1
TRAINING/TRAIN_00104.tfidf	0.161251	0.182579	1	0
